republican,0,1,0,1,1,1,0,0,0,1,3,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,3
democrat,3,1,1,3,1,1,0,0,0,0,1,0,1,1,0,0
democrat,0,1,1,0,3,1,0,0,0,0,1,0,1,0,0,1
democrat,1,1,1,0,1,1,0,0,0,0,1,3,1,1,1,1
democrat,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
democrat,0,1,0,1,1,1,0,0,0,0,0,0,3,1,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,3,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3,3
republican,0,1,0,1,1,0,0,0,0,0,3,3,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,0,1,3,1,1,3,3
democrat,0,1,1,0,0,0,1,1,1,0,0,0,1,0,3,3
democrat,1,1,1,0,0,1,1,1,3,1,1,3,0,0,1,3
republican,0,1,0,1,1,1,0,0,0,0,0,1,3,3,0,3
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,3,0,3
democrat,1,0,1,0,0,1,0,1,3,1,1,1,3,0,0,1
democrat,1,3,1,0,0,0,1,1,1,0,0,0,1,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,3,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,1,1,0,0,3,1,1,0,0,1,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,3,3,1,1
democrat,1,3,1,0,0,0,1,1,1,0,0,3,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,3
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,3
democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,1,3,0,1,1,1,0,0,0,1,0,1,3,1,0,1
republican,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,3,0,0,0,0,3
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,3
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,3
democrat,1,1,1,0,0,0,1,1,3,0,1,0,0,0,1,3
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,3,0,0,0,0,0,0,3
democrat,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
republican,0,3,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,0,1,0,1,1,1,0,3,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,3,3
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,1,1,0,0,1,3,1,0,0,1,1,0,1,0,3
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,3
democrat,1,1,1,0,0,3,1,1,1,1,0,0,0,0,1,3
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,3
