2,164,audi,0,0,4,2,1,0,99.80,176.60,66.20,54.30,2337,3,4,109,5,3.19,3.40,10.00,102,5500,24,30,13950
2,164,audi,0,0,4,2,0,0,99.40,176.60,66.40,54.30,2824,3,5,136,5,3.19,3.40,8.00,115,5500,18,22,17450
1,158,audi,0,0,4,2,1,0,105.80,192.70,71.40,55.70,2844,3,5,136,5,3.19,3.40,8.50,110,5500,19,25,17710
1,158,audi,0,1,4,2,1,0,105.80,192.70,71.40,55.90,3086,3,5,131,5,3.13,3.40,8.30,140,5500,17,20,23875
2,192,bmw,0,0,2,2,2,0,101.20,176.80,64.80,54.30,2395,3,4,108,5,3.50,2.80,8.80,101,5800,23,29,16430
0,192,bmw,0,0,4,2,2,0,101.20,176.80,64.80,54.30,2395,3,4,108,5,3.50,2.80,8.80,101,5800,23,29,16925
0,188,bmw,0,0,2,2,2,0,101.20,176.80,64.80,54.30,2710,3,6,164,5,3.31,3.19,9.00,121,4250,21,28,20970
0,188,bmw,0,0,4,2,2,0,101.20,176.80,64.80,54.30,2765,3,6,164,5,3.31,3.19,9.00,121,4250,21,28,21105
2,121,chevrolet,0,0,2,3,1,0,88.40,141.10,60.30,53.20,1488,2,3,61,1,2.91,3.03,9.50,48,5100,47,53,5151
1,98,chevrolet,0,0,2,3,1,0,94.50,155.90,63.60,52.00,1874,3,4,90,1,3.03,3.11,9.60,70,5400,38,43,6295
0,81,chevrolet,0,0,4,2,1,0,94.50,158.80,63.60,52.00,1909,3,4,90,1,3.03,3.11,9.60,70,5400,38,43,6575
1,118,dodge,0,0,2,3,1,0,93.70,157.30,63.80,50.80,1876,3,4,90,1,2.97,3.23,9.41,68,5500,37,41,5572
1,118,dodge,0,0,2,3,1,0,93.70,157.30,63.80,50.80,1876,3,4,90,1,2.97,3.23,9.40,68,5500,31,38,6377
1,118,dodge,0,1,2,3,1,0,93.70,157.30,63.80,50.80,2128,3,4,98,5,3.03,3.39,7.60,102,5500,24,30,7957
1,148,dodge,0,0,4,3,1,0,93.70,157.30,63.80,50.60,1967,3,4,90,1,2.97,3.23,9.40,68,5500,31,38,6229
1,148,dodge,0,0,4,2,1,0,93.70,157.30,63.80,50.60,1989,3,4,90,1,2.97,3.23,9.40,68,5500,31,38,6692
1,148,dodge,0,0,4,2,1,0,93.70,157.30,63.80,50.60,1989,3,4,90,1,2.97,3.23,9.40,68,5500,31,38,7609
-1,110,dodge,0,0,4,1,1,0,103.30,174.60,64.60,59.80,2535,3,4,122,1,3.34,3.46,8.50,88,5000,24,30,8921
3,145,dodge,0,1,2,3,1,0,95.90,173.20,66.30,50.20,2811,3,4,156,4,3.60,3.90,7.00,145,5000,19,24,12964
2,137,honda,0,0,2,3,1,0,86.60,144.60,63.90,50.80,1713,3,4,92,0,2.91,3.41,9.60,58,4800,49,54,6479
2,137,honda,0,0,2,3,1,0,86.60,144.60,63.90,50.80,1819,3,4,92,0,2.91,3.41,9.20,76,6000,31,38,6855
1,101,honda,0,0,2,3,1,0,93.70,150.00,64.00,52.60,1837,3,4,79,0,2.91,3.07,10.10,60,5500,38,42,5399
1,101,honda,0,0,2,3,1,0,93.70,150.00,64.00,52.60,1940,3,4,92,0,2.91,3.41,9.20,76,6000,30,34,6529
1,101,honda,0,0,2,3,1,0,93.70,150.00,64.00,52.60,1956,3,4,92,0,2.91,3.41,9.20,76,6000,30,34,7129
